Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
松永　昂大,Lotte,6e3,投手,6,175,82,O型,左,左,香川,1988-04-16,28,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1,1,0,18,0.5,88,22,15,0,8,2,18,4,4,1.05,2.85
西野　勇士,Lotte,7500,投手,10,182,82,A型,右,右,富山,1991-03-06,29,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.79,0,0,0,0,0,24,4.2,6,0,3,0,6,3,3,1.93,2.48
大嶺　祐太,Lotte,2625,投手,12,184,80,A型,右,左,沖縄,1988-06-16,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
菅野　剛士,Lotte,1150,外野手,1,171,83,A型,右,左,東京,1993-05-06,31,0.189,39,120,95,18,1,16,1,15,5,21,4,4,0.328,0.295,0.622,3.15,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
髙濱　卓也,Lotte,1200,内野手,11,184,84,A型,右,左,佐賀,1989-07-06,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
南　昌輝,Lotte,3400,投手,8,182,88,A型,右,右,和歌山,1989-01-18,33,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09,2,2,0,6,0.5,146,32,35,0,16,1,29,13,11,1.59,2.62
土肥　星也,Lotte,1020,投手,2,186,82,B型,左,左,大阪,1995-07-07,34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,0,0,0,0,0,61,13.2,15,1,8,0,11,7,7,1.68,4
渡邉　啓太,Lotte,960,投手,1,177,72,B型,右,右,福島,1993-09-13,35,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,0,1,0,0,0,129,28,37,2,10,0,12,18,15,1.68,4.26
有吉　優樹,Lotte,2800,投手,2,178,87,AB型,右,右,千葉,1991-03-12,36,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,3,2,0,2,0.6,248,56.2,64,10,17,3,33,25,23,1.43,5.31
三木　亮,Lotte,2240,内野手,5,175,78,A型,右,右,大阪,1991-10-25,37,0.25,38,23,20,5,0,4,3,0,0,6,3,0,0.25,0.3,0.55,3.12,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
伊志嶺　翔大,Lotte,1840,外野手,8,179,79,A型,右,右,沖縄,1988-05-12,38,0.2,5,9,5,1,0,1,0,1,1,1,2,0,0.429,0.2,0.629,1.97,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
島　孝明,Lotte,595,投手,2,180,82,A型,右,右,千葉,1998-06-26,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
成田　翔,Lotte,670,投手,3,170,70,B型,左,左,秋田,1998-02-03,41,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8,2,1,0,1,0,0,0,0,1,4.62
